	20158369	20152761	20152104	20141529	20112401	20112761	20151225	20123167	20132131	20111423	20142911	20152580	20118008	20081501	20155257	20102819	20103227	20103232	20085108	20071750	20112852	20132920	20142107	20122207	20152579	20153164	20122206	20123210	20152128	20152140	20152133	20091450	20112781	20111325	20123149	20111414	20132135	20152750	20152523	20152582	20113165	20132315	20131245	20112904	20112102	20132103	20122954	20141427	20152654	20152614	20141410	20142524
1	NA	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
2	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4
3	1	1	4	1	1	1	4	4	1	4	4	4	3	4	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
4	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	NA	2	2	2	2	2	3	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2
6	NA	4	4	1	4	4	1	4	4	2	4	2	1	4	4	4	3	4	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	2	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4
7	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	NA	4	NA	1	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
9	2	NA	NA	2	3	3	3	3	3	2	1	2	2	1	3	1	3	2	2	2	3	3	3	3	3	3	3	2	3	2	2	3	3	2	2	2	3	3	2	2	2	3	2	3	2	2	4	2	1	2	3	2
10	2	2	NA	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
11	1	1	NA	1	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	NA	3	NA	2	2	3	2	3	2	2	2	3	4	2	3	3	2	2	2	3	3	3	3	2	3	3	2	3	3	2	3	3	2	3	3	2	3	3	3	3	2	3	2	2	3	3	3	2	2	2	3	3
13	3	2	NA	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
14	NA	4	NA	4	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
15	NA	3	NA	3	3	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4
16	2	1	1	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17	4	1	4	1	2	4	4	4	4	4	2	2	4	4	4	1	1	4	4	4	4	4	4	1	4	4	1	4	4	4	4	4	1	1	4	4	4	4	1	4	4	4	4	4	4	4	4	1	4	4	4	1
18	NA	2	2	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
19	1	1	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1
20	NA	2	3	3	3	3	3	3	3	3	3	1	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3
21	NA	2	2	2	2	2	2	2	2	2	4	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2
22	NA	4	4	4	4	4	3	4	4	4	4	2	2	4	4	4	2	4	1	2	4	4	4	4	4	4	4	2	4	4	2	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2	4	2	4	4	4	4
23	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
